run_id,timestamp,file,category,language,mode,total_ms,phase_hotspot_ms,phase_code_blocks_ms,phase_llvm_ms,phase_confidence_ms,phase_ai_ms,phase_block_unification_ms,phase_line_aggregation_ms,phase_final_ms,hotspot_pct,llvm_pct,ai_pct
57690afb,2025-12-21T10:14:41Z,precipitation_model.cpp,unknown,cpp,hybrid,538.336992263794,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2ec89b8b,2025-12-21T10:14:41Z,market_data_processor.cpp,unknown,cpp,hybrid,502.0580291748047,0,0,0,0,0,0,0,0,0.0,0.0,0.0
6035a3e6,2025-12-21T10:14:42Z,algorithmic_trading.cpp,unknown,cpp,hybrid,608.0858707427979,0,0,0,0,0,0,0,0,0.0,0.0,0.0
7f4e276d,2025-12-21T10:14:42Z,time_series_forecast.cpp,unknown,cpp,hybrid,619.9319362640381,0,0,0,0,0,0,0,0,0.0,0.0,0.0
8c7e87e2,2025-12-21T10:14:43Z,vqe_optimizer.cpp,unknown,cpp,hybrid,393.1262493133545,0,0,0,0,0,0,0,0,0.0,0.0,0.0
35099513,2025-12-21T10:14:43Z,quantum_annealing.cpp,unknown,cpp,hybrid,679.7409057617188,0,0,0,0,0,0,0,0,0.0,0.0,0.0
bd0106ad,2025-12-21T10:14:44Z,quantum_cryptography.cpp,unknown,cpp,hybrid,689.6839141845703,0,0,0,0,0,0,0,0,0.0,0.0,0.0
c4fd8b9e,2025-12-21T10:14:45Z,error_correction.cpp,unknown,cpp,hybrid,963.27805519104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1e6edffa,2025-12-21T10:14:46Z,quantum_chemistry.cpp,unknown,cpp,hybrid,1182.9700469970703,0,0,0,0,0,0,0,0,0.0,0.0,0.0
e6d33855,2025-12-21T10:14:47Z,quantum_simulator.cpp,unknown,cpp,hybrid,605.252742767334,0,0,0,0,0,0,0,0,0.0,0.0,0.0
804ed692,2025-12-21T10:14:48Z,fluid_dynamics.cpp,unknown,cpp,hybrid,819.8850154876709,0,0,0,0,0,0,0,0,0.0,0.0,0.0
3f815752,2025-12-21T10:14:48Z,nbody_simulation.cpp,unknown,cpp,hybrid,450.5760669708252,0,0,0,0,0,0,0,0,0.0,0.0,0.0
f8dd7a42,2025-12-21T10:14:49Z,finite_element_analysis.cpp,unknown,cpp,hybrid,748.7602233886719,0,0,0,0,0,0,0,0,0.0,0.0,0.0
97265650,2025-12-21T10:14:49Z,molecular_dynamics.cpp,unknown,cpp,hybrid,448.8708972930908,0,0,0,0,0,0,0,0,0.0,0.0,0.0
3437de22,2025-12-21T10:14:50Z,sparse_matrix.cpp,unknown,cpp,hybrid,457.5321674346924,0,0,0,0,0,0,0,0,0.0,0.0,0.0
8d53d3ac,2025-12-21T10:14:50Z,ray_tracing.cpp,unknown,cpp,hybrid,496.8600273132324,0,0,0,0,0,0,0,0,0.0,0.0,0.0
66d58cdb,2025-12-21T10:14:51Z,particle_physics.cpp,unknown,cpp,hybrid,497.6310729980469,0,0,0,0,0,0,0,0,0.0,0.0,0.0
6cecec56,2025-12-21T10:14:51Z,monte_carlo_integration.cpp,unknown,cpp,hybrid,450.8328437805176,0,0,0,0,0,0,0,0,0.0,0.0,0.0
